Datetime,Symbol,Open,High,Low,Close,Volume,Market Cap
2017-08-17,BTC,4261.48000000,4485.39000000,4200.74000000,4285.08000000,795.15037700,3454770.05073206
2017-08-18,BTC,4285.08000000,4371.52000000,3938.77000000,4108.37000000,1199.88826400,5086958.30617151
2017-08-19,BTC,4108.37000000,4184.69000000,3850.00000000,4139.98000000,381.30976300,1549483.73542151
2017-08-20,BTC,4120.98000000,4211.08000000,4032.62000000,4086.29000000,467.08302200,1930364.39032646
2017-08-21,BTC,4069.13000000,4119.62000000,3911.79000000,4016.00000000,691.74306000,2797231.71402728
2017-08-22,BTC,4016.00000000,4104.82000000,3400.00000000,4040.00000000,966.68485800,3752505.77214051
2017-08-23,BTC,4040.00000000,4265.80000000,4013.89000000,4114.01000000,1001.13656500,4148686.46581968
2017-08-24,BTC,4147.00000000,4371.68000000,4085.01000000,4316.01000000,787.41875300,3296476.41316476
2017-08-25,BTC,4316.01000000,4453.91000000,4247.48000000,4280.68000000,573.61274000,2484637.34936327
2017-08-26,BTC,4280.71000000,4367.00000000,4212.41000000,4337.44000000,228.10806800,977865.73333210
2017-08-27,BTC,4332.51000000,4400.00000000,4285.54000000,4310.01000000,350.69258500,1521580.06202557
2017-08-28,BTC,4310.01000000,4399.82000000,4124.54000000,4386.69000000,603.84161600,2591660.52579953
2017-08-29,BTC,4353.65000000,4625.85000000,4313.55000000,4587.48000000,603.54502800,2682483.73582991
2017-08-30,BTC,4564.52000000,4647.51000000,4416.01000000,4555.14000000,808.46877100,3683714.68666123
2017-08-31,BTC,4555.14000000,4745.42000000,4555.14000000,4724.89000000,556.95680200,2579878.72401184
2017-09-01,BTC,4689.89000000,4885.55000000,4654.88000000,4834.91000000,560.66636600,2665165.55924616
2017-09-02,BTC,4796.16000000,4939.19000000,4286.87000000,4472.14000000,929.14859500,4257723.94481700
2017-09-03,BTC,4508.50000000,4714.76000000,4298.33000000,4509.08000000,691.21619800,3121052.75230181
2017-09-04,BTC,4505.00000000,4527.49000000,3972.51000000,4100.11000000,1394.64461400,5909947.49008974
